,id,loc,correct_location
99,1.4942162827822449e+18,"Saint-Avold, France","Saint-Avold, France"
100,1.4942252703913247e+18,"Saint-Avold, France","Saint-Avold, France"
101,1.4942680859136696e+18,FRANCE,FRANCE
102,1.4942736196938752e+18,"Saint-Avold, France","Saint-Avold, France"
103,1.4942832998705684e+18,"Riedisheim, France","Riedisheim, France"
104,1.495778586120405e+18,🇫🇷 45°10′00 Nord 5°43′00 Est,🇫🇷 45°10′00 Nord 5°43′00 Est
105,1.5045411390383104e+18,BREST,BREST
106,1.5061779976022753e+18,"Saint-Avold, France","Saint-Avold, France"
107,1.5094218823108936e+18,"Gironde, Aquitaine","Gironde, Aquitaine"
108,1.5112366071810376e+18,"Lorient, France","Lorient, France"
109,1.511237186833863e+18,"Lorient, France","Lorient, France"
110,1.5115960246027633e+18,"Saint-Avold, France","Saint-Avold, France"
111,1.5116553386464215e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
112,1.5062703984381583e+18,"Suffolk, VA","Suffolk, Virginia, United States of America"
113,1.4057804818330583e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
114,1.4058560310962504e+18,"Up a hill, mid Wales","Up a hill, mid Wales"
115,1.4080240185995264e+18,Berlin,Berlin
116,1.4097961506605793e+18,A Patient Lead Campaign,A Patient Lead Campaign
117,1.4098192165853102e+18,"England, United Kingdom","England, United Kingdom, England, United Kingdom"
118,1.412303121158656e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
119,1.4134834164445716e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
120,1.415946117200728e+18,"England, United Kingdom","England, United Kingdom, England, United Kingdom"
121,1.415952859087188e+18,"Glaschu, Scotland","Glaschu, Scotland"
122,1.4159627566757724e+18,Brighton ,Brighton 
123,1.4159697579253473e+18,Solihull,Solihull
124,1.4159709010326446e+18,Solihull,Solihull
125,1.4159711776344517e+18,"Glaschu, Scotland","Glaschu, Scotland"
126,1.4159810268164424e+18,"Birmingham, West Midlands","Birmingham, West Midlands"
127,1.4159924025742582e+18,Fountain Centre Belfast BT16ET,Fountain Centre Belfast BT16ET
128,1.4159973164698296e+18,Geneva,Geneva
129,1.4159993933968384e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
130,1.4160023492402913e+18,Españ@ Tenerif€ LaLagun@,Españ@ Tenerif€ LaLagun@
131,1.4160344231124132e+18,Worcestershire,Worcestershire
132,1.4160599669018706e+18,UK,"England, United Kingdom"
133,1.4160617306360627e+18,"Dublin, Ireland","Dublin, Ireland"
134,1.4170702510746788e+18,"Las Vegas, Nevada, USA","Las Vegas, Nevada, United States of America, USA"
135,1.4181453026415862e+18,London/ Devon,"London, England, United Kingdom/ Devon"
136,1.4185538960128532e+18,west country,west country
137,1.419576942982992e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
138,1.4199804949393367e+18,North Wales,North Wales
139,1.4220792077991483e+18,Uk,"England, United Kingdom"
140,1.427612314669359e+18,"Birmingham, West Midlands","Birmingham, West Midlands"
141,1.4324266501431665e+18,United States,United States
142,1.4331439415374395e+18,Hamburg,Hamburg
143,1.4337182016663347e+18,"New Delhi, India","New Delhi, India"
144,1.440333182079955e+18,Ireland,Ireland
145,1.440430843273433e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
146,1.4431031028701184e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
147,1.4438780259097518e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
148,1.443903161744466e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
149,1.4439439994427597e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
150,1.4450170552337736e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
151,1.4457027438893548e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
152,1.4460477901410017e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
153,1.4489668724818657e+18,Plague Island #JohnsonVariant,Plague Island #JohnsonVariant
154,1.4501905137228636e+18,North Wales,North Wales
155,1.4511973901284393e+18,Ireland,Ireland
156,1.4514572524398264e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
157,1.4555644644854497e+18,Ireland,Ireland
158,1.4580190147104932e+18,"New Delhi, India","New Delhi, India"
159,1.458079680385491e+18,Ireland,Ireland
160,1.458082627441791e+18,Ireland,Ireland
161,1.4590856048310436e+18,Scotland,Scotland
162,1.460196236905046e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
